hscode4_text,HSCode2,TranslatedText
มันหมูที่ไม่มีเนื้อติด และมันสัตว์ปีกเลี้ยง ยังไม่เจียว หรือสกัดโดยวิธีอื่น  สด แช่เย็นหรือแช่แข็ง ใส่เกลือ แช่น้ำเกลือ ทำให้แห้งหรือรมควัน,02,"lard without meat and poultry fat, unfried or otherwise extracted, fresh, chilled or frozen, salted, in brine, dried or smoked."
เนื้อ และส่วนอื่นของสัตว์ที่บริโภคได้ ใส่เกลือ แช่น้ำเกลือ แห้งหรือรมควัน  รวมทั้งเนื้อหรือส่วนอื่นของสัตว์ที่ป่นซึ่งบริโภคได้,02,"Meat and other edible animal parts, salted, in brine, dried or smoked including the meat or other edible meal of meat or offal."
ปลามีชีวิต,03,live fish
ปลาสดหรือแช่เย็น ไม่รวมถึงเนื้อปลาแบบฟิลเล และเนื้อปลาแบบอื่นตามประเภทที่ 03.04,03,fresh or chilled fish Does not include filet fish. and other fish meat of heading 03.04.
ปลา แช่เย็นจนแข็ง ไม่รวมถึงเนื้อปลาแบบฟิลเล และ เนื้อปลาแบบอื่นตามประเภท 03.04 ปลาในวงศ์แซลมอน ไม่รวมถึงส่วนอื่นของปลาที่บริโภคได้ตามประเภทย่อย 0303.91 ถึง 0303.99,03,"fish, frozen excluding fish fillets and other fish fillets of heading 03.04 fish of the salmon family. excluding other edible fish parts of subheadings 0303.91 to 0303.99."
เนื้อปลาแบบฟิลเล และเนื้อปลาแบบอื่น (จะบดหรือไม่ก็ตาม) สด  แช่เย็น หรือแช่แข็ง,03,"filet fillet and other fish (whether or not ground), fresh, chilled or frozen"
ปลา แห้ง ใส่เกลือหรือแช่น้้าเกลือ ปลารมควันจะท้าให้สุกก่อนรมควันหรือในขณะรมควันหรือไม่ก็ตาม รวมทั้งปลาที่ป่นและที่ท้าเป็นเพลเลต ซึ่งเหมาะส้าหรับมนุษย์บริโภค,03,"Fish, dried, salted or in brine Smoked fish whether or not cooked before smoking or during smoking including fish meal and pellets which is suitable for human consumption"
แช่เย็นจนแข็ง ,03,Refrigerate until frozen.
หอยนางรม,03,oyster
ปลิงทะเล (สติโชพัสจาโปนิคัส โฮโลทูริโออิดี),03,Sea cucumber (Stichopus japonicus Holoturioidee)
นมและครีมที่ไม่ทำให้เข้มข้น และไม่เติมน้ำตาล หรือสารที่ทำให้หวานอื่นๆ,04,Unsweetened milk and cream and no added sugar or other sweeteners
นมและครีม ที่ทำให้เข้มข้น หรือเติมน้ำตาล หรือสารที่ทำให้หวานอื่นๆ,04,"Milk and cream, concentrated or add sugar or other sweeteners"
บัตเตอร์มิลค์  นมและครีมชนิดเคอร์เดิล โยเกิร์ต เคเฟอร์  รวมทั้งนมและครีมที่หมักหรือทำให้เปรี้ยวอย่างอื่น จะทำให้เข้มข้น เติมน้ำตาลหรือสารที่ทำให้หวานอื่นๆ   ปรุงกลิ่นรส เติมผลไม้ ลูกนัตหรือโกโก้ หรือไม่ก็ตาม,04,"Buttermilk Curdled milk and cream, yogurt, kefir, and other fermented or soured milk and cream. will concentrate Whether or not containing added sugar or other sweetening matter, flavorings, added fruit, nuts or cocoa."
หางนม (เวย์) จะทำให้เข้มข้น  หรือเติมน้ำตาลหรือสารที่ทำให้หวานอื่น ๆ หรือไม่ก็ตาม  ผลิตภัณฑ์ที่มีองค์ประกอบของนมธรรมชาติ  จะเติมน้ำตาลหรือสารที่ทำให้    หวานอื่น ๆ หรือไม่ก็ตาม ที่ไม่ได้ระบุหรือรวมไว้ที่อื่น,04,"Whey (whey) will make it concentrated. or whether or not containing added sugar or other sweetening matter; products containing natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included"
เนย ไขมันและน้ำมันอื่นๆ ที่ได้จากนม รวมทั้งเดรีสเปรด,04,"Butter, other fats and oils derived from milk, including dairy spreads."
เนยแข็ง และเคิร์ต,04,Cheese and Kurt
ไข่สัตว์ปีก ทั้งเปลือก สด ทำไว้ไม่ให้เสีย หรือทำให้สุกแล้ว,04,"Poultry eggs, in shell, fresh, preserved or cooked"
ไข่สัตว์ปีกที่เอาเปลือกออกแล้วและไข่แดง สด แห้ง ทำให้สุกโดยการนึ่งหรือต้ม หล่อหรืออัดเป็นรูป แช่แข็งหรือทำไว้ไม่ให้เสียโดยวิธีอื่น จะเติมน้ำตาลหรือสารทำให้หวานอื่นๆ หรือไม่ก็ตาม,04,"Poultry eggs without shell and egg yolks, fresh, dry, cooked by steaming or boiling. Cast or extruded frozen or otherwise preserved whether or not added sugar or other sweetening matter"
น้ำผึ้งธรรมชาติ                                                                                                                                                                                                                                                 ,04,natural honey
ผลิตภัณฑ์ที่ได้จากสัตว์ที่บริโภคได้ ซึ่งไม่ได้ระบุหรือรวมไว้ในที่อื่น,04,Edible animal products not specified or included elsewhere.
ผมคนที่ยังไม่ได้จัดทำ จะล้างหรือแปรงแล้วหรือไม่ก็ตาม รวมทั้งเศษผมคน                                                                                                                                                                                             ,05,I'm someone who hasn't done it yet. whether or not it has been washed or brushed including human hair
ขนหมู ขนแบดเจอร์ และขนสัตว์อื่นๆ ที่ใช้ทำแปรง รวมทั้งเศษของขนดังกล่าว,05,"Pig's hair, badger's hair and other brush hair; waste thereof."
ไส้ ถุงกระเพาะ (แบลดเดอร์) และกระเพาะอาหารของสัตว์ (นอกจากของปลา) ทั้งอันหรือแบ่งเป็นชิ้น สด แช่เย็น แช่เย็นจนแข็ง ใส่เกลือ แช่น้ำเกลือ แห้งหรือรมควัน                                                                                                          ,05,"intestines, bladders (bladders) and stomachs of animals (other than fish), whole or sliced, fresh, chilled, frozen, salted, in brine, dried or smoked"
หนังและส่วนอื่นของสัตว์ปีก ที่มีขนแข็งหรือขนอ่อนติด ขนแข็งและส่วนขนแข็ง (จะแต่งริมหรือไม่ก็ตาม) และขนอ่อนที่ไม่ได้จัดทำมากไปกว่าทำความสะอาด ฆ่าเชื้อโรคหรือทำไว้ไม่ให้เสีย  รวมทั้งผงและเศษของขนแข็งหรือส่วนของขนแข็ง,05,"Skins and other parts of poultry with hard hair or downy hair bristles and hard bristles (whether or not trimmed) and floss, not worked further than cleaned Kill germs or keep them from spoiling. including powder and waste of feathers or parts of feathers."
กระดูกและแก่นเขาสัตว์ ที่ยังไม่ได้จัดทำ เอาไขมันออก จัดทำอย่างง่ายๆ (แต่ไม่ได้ตัดเป็นรูปทรง) ผ่านกรรมวิธีโดยใช้กรด หรือเอาเยลาตินออก รวมทั้งผงและเศษของผลิตภัณฑ์เหล่านี้,05,"Bones and Horn Cores that have not been prepared, removed the fat, prepared simply (But not cut into shape) Processed using acid. or remove the gelatin including the powder and waste of these products."
เขี้ยวงา กระดองสัตว์จำพวกเต่า เวลโบน เวลโบนแฮร์ เขา กีบ เล็บ กงเล็บและจงอยปาก  ที่ยังไม่ได้จัดทำหรือทำอย่างง่ายๆ แต่ไม่ได้ตัดเป็นรูปทรง รวมทั้งผงและเศษของผลิตภัณฑ์เหล่านี้,05,"Ivory Fang, Tortoise Shell, Welbone, Welbone Hair, Horns, Hoofs, Nails, Claws and Beaks. that have not been prepared or made easily but not cut into shapes including the powder and waste of these products."
หินปะการังและสิ่งคล้ายกัน  ที่ยังไม่ได้จัดทำหรือจัดทำอย่างง่าย ๆ  แต่ต้องไม่จัดทำมากไปกว่านี้  เปลือกของสัตว์น้ำจำพวกโมลลุสก์ ครัสตาเซียหรือเอคไคโนเดิร์ม  และลิ้นทะเล ที่ยังไม่ได้จัดทำหรือจัดทำอย่างง่าย ๆ  แต่ไม่ได้ตัดเป็นรูปทรง รวมทั้งผงและเศษของสิ่งดัง,05,"coral and the like that have not been prepared or prepared simply, but must not be prepared more than this Mollusc shell Crustaceans or echinoderms and tongues, unworked or simply prepared but not cut to shape. including dust and debris"
อำพันขี้ปลา คาสโตเรียม ชะมดเช็คและชะมดเชียง แมลงวันสเปน ดีสัตว์ จะแห้งหรือไม่ก็ตาม รวมทั้งต่อมและผลิตภัณฑ์อื่นๆ ของสัตว์ ที่ใช้ในการทำผลิตภัณฑ์ทางเภสัชกรรม  สด แช่เย็น แช่แข็ง หรือทำไว้ไม่ให้เสียชั่วคราวโดยวิธีอื่น,05,"Amber, fish excrement, castorium, check and civet musk, spanish fly, bile, whether or not dried. glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise temporarily preserved."
ผลิตภัณฑ์สัตว์ที่ไม่ได้ระบุหรือรวมไว้ในที่อื่น รวมทั้งสัตว์ในตอนที่ 1 หรือ 3 ที่ไม่มีชีวิตและไม่เหมาะสาหรับมนุษย์บริโภค,05,animal products not elsewhere specified or included including animals in Chapter 1 or 3 that are not alive and unfit for human consumption
หัว หน่อ แขนง เหง้า ตุ่มตา และแง่ง ที่ยังไม่งอก ที่งอกหรือมีดอก ต้นและรากชิโครี่ นอกจากรากตามประเภทที่ 12.12 (รากชิโครี่พันธุ์ชิโคเรียมอินไทบัสซาติวัม),06,"Tubers, shoots, branches, rhizomes, buds and rhizomes that have not sprouted, that have germinated or have flowers. Chicory roots and roots other than roots of heading 12.12 (chichory root of Chicoryum intybus sativam)"
พืชมีชีวิตอื่น ๆ รวมถึงราก (นอกจากพืชมีชีวิตตามประเภทที่ 06.01)  กิ่งชำ กิ่งตอน และส่าเห็ด,06,"Other live plants, including roots (other than live plants of heading 06.01), cuttings, cuttings and mushroom filaments."
ดอกไม้ชนิดที่เหมาะสำหรับจัดทำเป็นช่อดอกไม้หรือเพื่อการประดับสด แห้ง ย้อมสี ฟอก อาบซึม หรือจัดทำโดยวิธีอื่น,06,"Flowers of a kind suitable for bouquets or ornamental purposes fresh, dried, dyed, bleached, impregnated or otherwise prepared."
ใบไม้ กิ่งไม้ และส่วนอื่นๆ ของพืชที่ไม่มีดอกติด หญ้า มอสและไลเคน ที่เหมาะสำหรับจัดทำเป็นช่อดอกไม้ หรือเพื่อการประดับ สด แห้ง ย้อมสี ฟอก อาบซึม หรือจัดทำโดยวิธีอื่น,06,"Leaves, twigs, and other non-flowering plants, grasses, mosses, and lichens are ideal for bouquets. or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared."
มันฝรั่ง สดหรือแช่เย็น,07,"Potatoes, fresh or chilled"
มะเขือเทศ สดหรือแช่เย็น                                                                                                                                                                                                                                         ,07,"Tomatoes, fresh or chilled"
หอมหัวใหญ่ หอมหัวเล็ก กระเทียม ลีก และพืชผักจำพวกหอมกระเทียมอื่นๆ สด  หรือแช่เย็น,07,"Onions, shallots, garlic, leek and other onion vegetables, fresh or chilled."
กะหล่ำปลี กะหล่ำดอก กะหล่ำปม เคลและพืชที่คล้ายกันในตระกูลบราสชิกาซึ่งบริโภคได้ สดหรือแช่เย็น,07,"Cabbage, cauliflower, kohlrabi, kale and similar edible brassica plants. fresh or chilled"
ผักกาดหอม (แล็กตูกาชาติวา) และชิโครี่ (ชนิดชิโคเรี่ยม) สดหรือแช่เย็น,07,"Lettuce (lactuca chatava) and chicory (chichorium spp.), fresh or chilled."
แคร์รอต เทอร์นิป หัวบีตที่ใช้ทำสลัด ซัลซิฟาย เซเลริแอก หัวผักกาดขาวและหัวของพืชที่คล้ายกันซึ่งบริโภคได้ สดหรือแช่เย็น,07,"Carrots, turnips, salad beets, salsify, celeriac, radishes and similar edible roots. fresh or chilled"
แตงร้านและแตงกวา สดหรือแช่เย็น                                                                                                                                                                                                                                  ,07,Cucumbers and Cucumbers fresh or chilled
พืชผักตระกูลถั่ว เอาเปลือกออกหรือไม่ก็ตาม สดหรือแช่เย็น,07,"Legumes peeled off, whether or not fresh or chilled"
พืชผักอื่นๆ (นอกจากพืชผักที่ระบุไว้ตามประเภทที่ 07.01 ถึง 07.08)  สดหรือแช่เย็น,07,"Other vegetables (other than those specified in headings 07.01 to 07.08), fresh or chilled."
พืชผัก (ดิบหรือทำให้สุกโดยการนึ่งหรือต้ม) แช่แข็ง,07,"Vegetables (raw or cooked by steaming or boiling), frozen"
พืชผักที่ทำไว้ไม่ให้เสียชั่วคราว (เช่น รมด้วยก๊าซซัลเฟอร์ไดออกไซด์ แช่น้ำเกลือ แช่น้ำกำมะถัน หรือแช่ยากันเสียอื่นๆ เป็นต้น) ในสภาพที่ไม่เหมาะสำหรับบริโภคทันที,07,"Vegetables temporarily preserved (e.g. fumigated with sulfur dioxide, in brine, in sulfur water, or other preservatives, etc.) in a state unsuitable for immediate consumption."
พืชผักแห้ง ทั้งต้นหรือทั้งหัว ตัด ฝาน ทำให้แตกหรือเป็นผง แต่ต้องไม่จัดทำมากไปกว่านี้,07,"Dried vegetables, whole or whole, cut, sliced, crushed or powdered. But must not do more than this."
พืชผักตระกูลถั่ว แห้งและเอาเปลือกออก จะลอกเยื่อหรือทำให้แยกจากกันหรือไม่ก็ตาม,07,Legumes dry and peel off whether or not to peel off the membranes or to separate them
มันสำปะหลัง รากสามสิบ สาเลป เยรูซาเลมอาร์ติโชก มันเทศ และรากหรือหัวที่คล้ายกัน ซึ่งมีปริมาณของสตาร์ชหรืออินูลินสูง สด แช่เย็น แช่แข็ง หรือแห้ง  จะฝานหรือทำเป็นเพลเลตหรือไม่ก็ตาม รวมทั้งเนื้อในของต้นสาคู,07,"manioc, thirty roots, salep, Jerusalem artichokes, sweet potatoes and similar roots or tubers. containing a high content of starch or inulin, fresh, chilled, frozen or dried, whether or not sliced ​​or in the form of pellets. Including the meat of the sago tree"
มะพร้าว บราซิลนัต และเมล็ดมะม่วงหิมพานต์ สดหรือแห้ง จะเอาเปลือกออกหรือไม่ก็ตาม,08,"Coconuts, brazil nuts and cashew nuts, fresh or dried, whether or not shelled."
ลูกนัตอื่นๆ (นอกจากบราซิลนัตและเมล็ดมะม่วงหิมพานต์)  สดหรือทำให้แห้ง จะเอาเปลือกออกหรือไม่ก็ตาม,08,"Other nuts (other than brazil nuts and cashew nuts), fresh or dried. whether or not the shell has been removed"
กล้วยรวมถึงกล้าย  สดหรือแห้ง,08,"Bananas including plantains, fresh or dried"
อินทผลัม มะเดื่อ สับปะรด อโวคาโด ฝรั่ง มะม่วง และมังคุด สดหรือแห้ง,08,"Dates, figs, pineapples, avocados, guava, mangoes and mangosteens, fresh or dried."
ผลไม้จำพวกส้ม สดหรือแห้ง,08,"Citrus fruits, fresh or dried"
องุ่น สดหรือแห้ง,08,"Grapes, fresh or dry"
แตง (รวมถึงแตงโม) และมะละกอ  สด,08,"Melons (including watermelons) and papayas, fresh"
แอปเปิ้ล แพร์ และควินซ์ สด,08,"Apple, pear and quince, fresh"
แอปริคอต เชอร์รี่ ท้อ (รวมทั้งเนกทารีน) พลัม และสโล สด,08,"Apricots, cherries, peaches (including nectarines), plums, and fresh sloe."
ผลไม้อื่นๆ  (นอกจากที่ระบุไว้ตามประเภทที่ 08.01 ถึง 08.09)  สด,08,"Other fruit (other than those specified in Headings 08.01 to 08.09), fresh."
ผลไม้และลูกนัต ดิบหรือทำให้สุกด้วยการนึ่งหรือต้ม แช่แข็ง จะเติมน้ำตาลหรือสารทำให้หวานอื่นๆ หรือไม่ก็ตาม,08,"fruit and nuts raw or cooked by steaming or boiling, frozen, whether or not containing added sugar or other sweetening matter"
ผลไม้และลูกนัตที่ทำไว้ไม่ให้เสียชั่วคราว (เช่น รมด้วยก๊าซซัลเฟอร์ไดออกไซด์ แช่น้ำเกลือ แช่น้ำกำมะถันหรือน้ำยากันเสียอื่นๆ) ในสภาพที่ไม่เหมาะสำหรับบริโภคได้ทันที,08,"Fruit and nuts temporarily preserved (e.g. fumigated with sulfur dioxide gas, in brine, in sulfur water or other preservative solutions) in a state unfit for immediate consumption."
ผลไม้แห้ง นอกจากผลไม้แห้งตามประเภทที่ 08.01 ถึง 08.06 รวมทั้งลูกนัตหรือผลไม้แห้งในตอนที่ 8 ผสมกัน,08,"Dried fruit, other than dried fruit of headings 08.01 to 08.06; mixed nuts or dried fruits of Chapter 8."
เปลือกผลไม้จำพวกส้มหรือเปลือกแตง (รวมถึงแตงโม) สด แช่เย็นจนแข็ง แห้ง หรือทำไว้ไม่ให้เสียชั่วคราว โดยแช่น้ำเกลือ แช่น้ำกำมะถันหรือน้ำยากันเสียอื่น ๆ                                                                                                             ,08,"Citrus or melon peels (including watermelon), fresh, frozen, dried or temporarily preserved by soaking in salt water Soak in sulfur water or other preservatives."
กาแฟ จะคั่วหรือแยกกาเฟอีนออกแล้วหรือไม่ก็ตาม เปลือกและเยื่อของกาแฟ    รวมทั้งของที่ใช้แทนกาแฟที่มีกาแฟผสมอยู่ในอัตราส่วนเท่าใดก็ตาม,09,"Coffee, whether or not roasted or decaffeinated coffee husks and skins Including substitutes for coffee with coffee mixed in any ratio."
ชา จะปรุงกลิ่นรสหรือก็ตาม,09,"Tea, whether flavored or not"
ชามาเต้                                                                                                                                                                                                                                                         ,09,Mate Tea
พริกในตระกูลไปเปอร์ รวมทั้งพริกในตระกูลแคปชิกัมหรือพิเมนตา ที่แห้งหรือบดหรือป่น,09,Piper peppers including capsicum or pimenta peppers Dried or crushed or ground
วานิลา,09,vanilla
อบเชยและดอกอบเชย,09,cinnamon and cinnamon blossom
กานพลู (ผล ดอก และก้านดอก),09,"Cloves (fruit, flowers and flower stalks)"
ลูกจันทน์เทศ ดอกจันทน์เทศ และกระวาน,09,"nutmeg, mace and cardamom"
เมล็ดยี่หร่า เมล็ดโป๊ยกั๊ก เมล็ดเทียนข้าวเปลือก เมล็ดผักชี เมล็ดเทียนขาว หรือเมล็ดคาราเวย์ และจูนิเปอร์เบอร์รี่,09,"fennel seeds star anise seeds fennel seeds, paddy, coriander seeds, white fennel seeds or caraway seeds and juniper berries"
ขิง หญ้าฝรั่น ขมิ้น ไทม์ ใบเบย์ หอมแขก และเครื่องเทศอื่นๆ,09,"Ginger, saffron, turmeric, thyme, bay leaf, onion and other spices."
ข้าวสาลีและข้าวเมสลิน,10,Meslin wheat and rice
ข้าวไรย์,10,rye
ข้าวบาร์เลย์,10,barley
ข้าวโอ๊ต,10,oatmeal
ข้าวโพด,10,sweetcorn
ข้าว,10,rice
ข้าวซอร์กัม,10,Sorghum Rice
บักก์วีต ข้าวฟ่างนกเขา และข้าวนก รวมทั้งเมล็ดธัญพืชอื่น ๆ  นอกจากที่ระบุไว้ตามประเภทที่ 10.01 ถึง 10.07 (ข้าวสาลีและเมสลิน  ข้าวไรย์  ข้าวบาร์เลย์  ข้าวโอ๊ต  ข้าวโพด  ข้าว  ข้าวซอร์กัม),10,"Buckwheat, dove millet and groats; other cereals, other than those mentioned in headings 10.01 to 10.07 (wheat and meslin, rye, barley, oats, maize, rice, sorghum)."
แป้งข้าวสาลีหรือแป้งเมสลิน,11,wheat flour or meslin flour
แป้งธัญพืชอื่นๆ นอกจากแป้งข้าวสาลีหรือแป้งเมสลิน,11,Other Cereal Flours other than wheat flour or meslin flour
เมล็ดหัก แป้งหยาบ และเพลเลตของธัญพืช,11,"Broken kernels, flour and pellets of cereals"
เมล็ดธัญพืชที่จัดทำโดยวิธีอื่นๆ (เช่น เอาเปลือกออก ทำให้แบน ทำเป็นเกล็ด ทำเป็นเม็ดกลม ฝานหรือบดแตก เป็นต้น)  เว้นแต่เมล็ดข้าวตามประเภทที่ 10.06  นอกจากนี้ให้รวมถึงเยิร์มของธัญพืช ทั้งอันหรือที่ทำให้แบน ทำเป็นเกล็ดหรือบด,11,"Cereal grains otherwise worked (for example, husked, flattened, flaked, pelletized, sliced ​​or smashed), except rice of heading 10.06, also including germ of cereals. whole or flattened Flaked or ground"
แป้ง แป้งหยาบ ผง เกล็ด เม็ดและเพลเลต ที่ทำจากมันฝรั่ง,11,"Flour, coarse flour, powder, flakes, granules and pellets made from potatoes"
แป้งและแป้งหยาบและผง ที่ทำจากพืชผักตระกูลถั่วที่แห้งตามประเภทที่ 07.13 ทำจากสาคูหรือจากรากหรือหัวของพืชตามประเภทที่ 07.14 หรือทำจากผลิตภัณฑ์ในตอนที่ 8 (ผลไม้และลูกนัตที่บริโภคได้ เปลือกผลไม้จำพวกส้มหรือเปลือกแตง),11,"Flour and coarse flour and powder of dried legumes of heading 07.13, of sago, or of roots or tubers of heading 07.14, or of products of Chapter 8 (edible fruits and nuts). peel of citrus fruits or melon peels)"
มอลต์ จะคั่วหรือไม่ก็ตาม,11,"Malt, whether or not roasted"
สตาร์ชและอินูลิน,11,Starch and Inulin
กลูเทนจากข้าวสาลี จะแห้งหรือไม่ก็ตาม                                                                                                                                                                                                                            ,11,gluten from wheat Whether it's dry or not
ถั่วเหลืองจะทำให้แตกหรือไม่ก็ตาม,12,soybean whether or not it will break
ถั่วลิสง ที่ไม่ได้คั่วหรือทำให้สุกโดยวิธีอื่น จะเอาเปลือกออกหรือทำให้แตกหรือไม่ก็ตาม,12,"Peanuts, not roasted or otherwise cooked. whether or not shelled or broken"
เนื้อมะพร้าวแห้ง (โคปรา)                                                                                                                                                                                                                                        ,12,Dried coconut meat (copra)
ลินสีด จะทำให้แตกหรือไม่ก็ตาม                                                                                                                                                                                                                                   ,12,"Linseed, whether or not split"
เมล็ดเรปหรือเมล็ดโคลชา จะทำให้แตกหรือไม่ก็ตาม,12,Rapeseed or colcha seeds Whether or not to break
เมล็ดดอกทานตะวัน จะทำให้แตกหรือไม่ก็ตาม,12,sunflower seeds Whether or not to break
เมล็ดพืชและผลไม้อื่น ๆ ที่มีน้ามัน จะทาให้แตกหรือไม่ก็ตาม,12,"Other oilseeds and fruit, whether or not broken."
แป้งและแป้งหยาบที่ทำจากเมล็ดพืชและผลไม้ที่มีน้ำมัน นอกจากที่ทำจากมัสตาร์ด,12,Flours and coarse flours made from oily seeds and fruits. other than those made from mustard
เมล็ด ผลและสปอร์ ชนิดที่ใช้ในการเพาะปลูก,12,"Seeds, fruit and spores of a kind used for planting"
ดอกฮ๊อป สดหรือแห้ง จะบด ทำเป็นผงหรือทำเป็นเพลเลตหรือไม่ก็ตาม รวมทั้ง ผง ยางดอกฮ๊อป (ลูปูลิน),12,"Hops, fresh or dried, whether or not ground, powdered or pellets; hop resin powder (lupulin)."
พรรณไม้และส่วนของพรรณไม้ (รวมถึงเมล็ดและผล) ชนิดที่ใช้ประโยชน์หลักในการทาเครื่องหอม ในทางเภสัชกรรมหรือสาหรับ ฆ่าแมลง ฆ่ารา หรือวัตถุประสงค์ที่คล้ายกัน สด แช่เย็น แช่เย็นจนแข็ง หรือแห้ง จะตัด บด หรือทาเป็นผงหรือไม่ก็ตาม,12,"Species and parts of plants (including seeds and fruits) of a kind used primarily for making incense In pharmaceuticals or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, ground or powdered."
โลคัสต์บีน สาหร่ายทะเลและสาหร่ายอื่น ๆ ชูการ์บีตและอ้อย สด แช่เย็น แช่เย็นจนแข็งหรือแห้ง จะบดหรือไม่ก็ตาม เมล็ดแข็งและเนื้อในของเมล็ดผลไม้และผลิตภัณฑ์อื่น ๆ จากพืชผัก (รวมถึงรากชิโครี่พันธุ์ชิโคเรี่ยมอินไทบัสซาติวุม ที่ไม่ได้คั่ว) ชนิดที่ใช้ประโยชน์หลักสา,12,"Locust bean, seaweed and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried. whether or not to grind seeds and pulp of fruit seeds and other vegetable products (including chicory roots of chicory intybus sativum unroasted) species that are mainly used for"
ฟางและแกลบของธัญพืชที่ไม่ได้จัดทำ จะสับ บด อัด หรือทำเป็นเพลเลต หรือไม่ก็ตาม                                                                                                                                                                                    ,12,"Cereal straw and husks, unworked, whether or not chopped, ground, pressed or in the form of pellets."
สวีด  แมงโกลด์  รากพืชที่ใช้เป็นอาหารสัตว์ เฮย์ ลูเซอร์น  (แอลฟาลฟา)  โคลเวอร์ เซนฟอน เคลที่ใช้เป็นอาหารสัตว์ ลูพีน เวตซ์  และผลิตภัณฑ์ที่คล้ายกันที่ใช้เป็น     อาหารสัตว์ จะทำเป็นเพลเลตหรือไม่ก็ตาม,12,"Swede, mangold, fodder roots, hay lucerne (alfalfa), clover, senfon, kale used in fodder, lupine, wetz and similar products used in fodder, shall be made into pellets or not"
ครั่ง กัมธรรมชาติ เรซิน กัมเรซินและออลีโอเรซิน (เช่น ชันหอม เป็นต้น),13,"Lac, natural gums, resins, gum-resins and oleoresins (e.g. chanterelles, etc.)."
น้ำเลี้ยง (แซป) และสิ่งสกัดจากพืช สารจำพวกเพกติก เกลือของกรดเพกตินิก (เพกติเนต) และเกลือของเพกติก (เพกเตต)  รวมทั้งวุ้นที่ได้จากสาหร่ายทะเล และวุ้นและยางข้นอื่น ๆ ที่ได้จากผลิตภัณฑ์จากพืช จะดัดแปลงหรือไม่ก็ตาม,13,"Vitreous (Zap) and plant extracts pectic substances Pectinic acid salts (pectinates) and pectic salts (pectates), and seaweed agar. and agar and other concentrates obtained from plant products. whether modified or not"
